NOMBRE1,NOMBRE1_0,NOMBRE2_0,NOMBRE1_3
PASTOR,1187,2236,3423
CLEMENTINA,1956,1460,3416
PETRONILA,2387,1005,3392
ISAIAS,1512,1879,3391
BESSY,2934,452,3386
JUSTO,3201,179,3380
ELIDA,2479,898,3377
ALONZO,264,3106,3370
BERNARDO,2283,1053,3336
FRANKLIN,3010,290,3300
ANGELINA,1624,1674,3298
DEYSI,2889,408,3297
ELIA,2443,853,3296
ADRIANA,2198,1070,3268
MARLENY,1088,2155,3243
ROSALINA,2538,701,3239
MARCELINO,2484,746,3230
DAGOBERTO,1872,1346,3218
BAUTISTA,18,3198,3216
YESSENIA,851,2346,3197
DENIA,3074,117,3191
ERIKA,3063,98,3161
MILTON,2923,234,3157
GONZALO,2106,1048,3154
VANESSA,456,2689,3145
FLORINDA,2003,1093,3096
SALOMON,1650,1436,3086
CECILIO,1523,1560,3083
GUILLERMINA,1986,1095,3081
BERNARDA,2046,1028,3074
NELLY,2452,620,3072
KENIA,3024,23,3047
ORFILIA,1452,1593,3045
MARTIR,1527,1515,3042
MARCIAL,2167,871,3038
FIDELINA,1912,1084,2996
DIANA,2883,99,2982
RUBENIA,1739,1236,2975
FELICITA,2033,942,2975
TEODORO,2352,623,2975
FLORENTINO,2064,907,2971
DALILA,1084,1886,2970
LUCIO,2376,594,2970
AMADO,1580,1388,2968
MATILDE,1738,1222,2960
FRANCIS,2688,270,2958
OBDULIO,722,2234,2956
DINA,2542,395,2937
EVELIO,1124,1808,2932
SAGRARIO,752,2176,2928
TEODORA,2075,811,2886
SEBASTIAN,2140,744,2884
ANDREA,1998,882,2880
OFELIA,1496,1382,2878
MARICELA,527,2348,2875
OLVIN,2748,116,2864
RAMIRO,1569,1288,2857
ADELINA,1711,1131,2842
ZULEMA,626,2213,2839
MARCELINA,2124,696,2820
VALENTIN,1885,934,2819
FAUSTINO,2049,770,2819
NELY,2188,629,2817
DILIA,1114,1682,2796
EMELINA,1300,1495,2795
JACOBO,1843,948,2791
NANCY,2763,28,2791
HUGO,2257,523,2780
GEORGINA,956,1823,2779
HERMINIA,1649,1108,2757
ROGELIO,1951,803,2754
BELINDA,884,1855,2739
HERIBERTO,1300,1436,2736
EMMA,2322,413,2735
VIDAL,1213,1506,2719
EDILBERTO,1164,1544,2708
JESSICA,2646,56,2702
JENNY,2660,40,2700
OLIMPIA,1281,1417,2698
ENCARNACION,1366,1328,2694
DAYSI,2459,233,2692
BENITO,1321,1370,2691
OSWALDO,1054,1633,2687
WALESKA,393,2288,2681
GABRIELA,1084,1568,2652
MAIRA,2605,40,2645
MELISSA,591,2050,2641
IGNACIO,1531,1105,2636
JOHANA,809,1819,2628
DANIA,2553,69,2622
FIDEL,1818,797,2615
ALCIDES,643,1966,2609
RONY,2454,141,2595
TELMA,2239,353,2592
